#Qs,Fpi,uncert (stat)
0.015,0.9715966241,0.003602318
0.083,0.8700574694,0.0086201202
0.017,0.9596874491,0.0031260177
0.089,0.8455767263,0.0094609983
0.019,0.9659192513,0.0031058497
0.095,0.8508818954,0.0105772611
0.021,0.9622889379,0.0031175668
0.101,0.8246211251,0.0103077641
0.023,0.9560334722,0.0036609597
0.107,0.8342661446,0.0113872534
0.025,0.9513148795,0.0036791183
0.113,0.8294576541,0.0120560706
0.027,0.9476286192,0.0042210629
0.119,0.8221921916,0.0127707367
0.029,0.9402127419,0.0042543563
0.125,0.8154753215,0.0141022048
0.031,0.9402127419,0.0047861508
0.131,0.8068457102,0.014872732
0.033,0.9433981132,0.0047699905
0.137,0.8037412519,0.0167964503
0.035,0.9305912099,0.0053729285
0.144,0.7848566748,0.0146523568
0.037,0.9359487165,0.0058763903
0.153,0.8087026648,0.0142203068
0.039,0.9257429449,0.0059411741
0.163,0.7503332593,0.0159928936
0.042,0.92141196,0.004883809
0.173,0.7307530363,0.0205267707
0.046,0.9148770409,0.0049186938
0.183,0.7655063684,0.0222075226
0.05,0.9110433579,0.005488213
0.193,0.7375635566,0.0244046765
0.054,0.8949860334,0.0061453473
0.203,0.7273238618,0.0274980666
0.058,0.894427191,0.0067082039
0.213,0.7848566748,0.0305788315
0.062,0.8994442729,0.0066707857
0.223,0.6978538529,0.0351076374
0.066,0.8865664104,0.0078956296
0.233,0.6457553716,0.044908647
0.07,0.8860022573,0.0084649897
0.243,0.7700649323,0.0480478963
0.074,0.8814760348,0.0090756863
0.253,0.5796550698,0.0629684823
0.078,0.8769264507,0.0096929452
